2024-09-21 13:11:31.186 [info] Starting Python Locator /root/.vscode/extensions/ms-python.python-2024.14.1-linux-x64/python-env-tools/bin/pet server
2024-09-21 13:11:32.233 [info] Discovered env: /usr/bin/python3
2024-09-21 13:11:32.233 [info] Discovered env: /bin/python3
2024-09-21 13:11:32.234 [info] Locator Conda took 142.923903ms
2024-09-21 13:11:32.234 [info] Locator Homebrew took 2.689501ms
2024-09-21 13:11:32.234 [info] Locator LinuxGlobal took 73.480333ms
2024-09-21 13:11:32.234 [info] Locator PipEnv took 193.79µs
2024-09-21 13:11:32.234 [info] Locator Poetry took 680.557µs
2024-09-21 13:11:32.234 [info] Locator PyEnv took 3.394976ms
2024-09-21 13:11:32.234 [info] Locator Venv took 37.149µs
2024-09-21 13:11:32.234 [info] Locator VirtualEnv took 107.052µs
2024-09-21 13:11:32.234 [info] Locator VirtualEnvWrapper took 97.826µs
2024-09-21 13:11:32.234 [info] Locator GlobalVirtualEnvs took 712.061µs
2024-09-21 13:11:32.234 [info] Locator Locators took 143.47264ms
2024-09-21 13:11:32.234 [info] Locator Path took 139.007213ms
2024-09-21 13:11:32.234 [info] Locator Workspaces took 7.454401ms
2024-09-21 13:11:32.234 [info] Refresh completed in 143ms
